window_start,ticker,avg_price,volatility,pct_change,market_status
2025-05-15T22:38:00.000+03:00,^DJI,42302.5,11.4,0.6,1
2025-05-15T22:37:00.000+03:00,^FTSE,8633.75,0.0,0.35,0
2025-05-15T22:41:00.000+03:00,^FTSE,8633.75,0.0,0.38,0
2025-05-15T22:41:00.000+03:00,^DJI,42301.42,12.03,-0.0,1
2025-05-15T22:45:00.000+03:00,^DJI,42296.61,,0.01,1
2025-05-15T22:39:00.000+03:00,^DJI,42304.1,10.84,0.6,1
2025-05-15T22:43:00.000+03:00,^IXIC,19062.41,2.36,-0.18,1
2025-05-15T22:39:00.000+03:00,^FTSE,8633.75,0.0,0.53,0
2025-05-15T22:39:00.000+03:00,^IXIC,19061.8,10.41,-0.0,1
2025-05-15T22:44:00.000+03:00,^IXIC,19062.4,3.34,-0.44,1
2025-05-15T22:40:00.000+03:00,^DJI,42300.03,13.08,0.59,1
2025-05-15T22:40:00.000+03:00,^IXIC,19061.44,9.05,-0.24,1
2025-05-15T22:42:00.000+03:00,^IXIC,19064.75,5.06,0.01,1
2025-05-15T22:36:00.000+03:00,^FTSE,8633.75,0.0,0.65,0
2025-05-15T22:40:00.000+03:00,000001.SS,3380.82,0.0,0.0,0
2025-05-15T22:41:00.000+03:00,000001.SS,3380.82,0.0,0.0,0
2025-05-15T22:40:00.000+03:00,^FTSE,8633.75,0.0,0.41,0
2025-05-15T22:45:00.000+03:00,000001.SS,3380.82,,-0.0,0
2025-05-15T22:39:00.000+03:00,^N225,37755.51,0.0,0.0,0
2025-05-15T22:42:00.000+03:00,^N225,37755.51,0.0,0.0,0
2025-05-15T22:36:00.000+03:00,^N225,37755.51,0.0,0.0,0
2025-05-15T22:41:00.000+03:00,^N225,37755.51,0.0,0.0,0
2025-05-15T22:37:00.000+03:00,^N225,37755.51,0.0,0.0,0
2025-05-15T22:44:00.000+03:00,^N225,37755.51,0.0,0.0,0
2025-05-15T22:38:00.000+03:00,^N225,37755.51,0.0,0.0,0
2025-05-15T22:39:00.000+03:00,000001.SS,3380.82,0.0,-0.0,0
2025-05-15T22:36:00.000+03:00,000001.SS,3380.82,0.0,-0.0,0
2025-05-15T22:42:00.000+03:00,^DJI,42299.86,13.29,0.59,1
2025-05-15T22:40:00.000+03:00,^N225,37755.51,0.0,0.0,0
2025-05-15T22:35:00.000+03:00,^IXIC,19055.55,6.56,-0.48,1
2025-05-15T22:35:00.000+03:00,^FTSE,8633.75,0.0,0.5,0
2025-05-15T22:38:00.000+03:00,^IXIC,19057.87,12.78,-0.46,1
2025-05-15T22:44:00.000+03:00,^FTSE,8633.75,0.0,0.38,0
2025-05-15T22:37:00.000+03:00,^DJI,42300.09,8.33,0.59,1
2025-05-15T22:38:00.000+03:00,000001.SS,3380.82,0.0,-0.0,0
2025-05-15T22:44:00.000+03:00,000001.SS,3380.82,0.0,-0.0,0
2025-05-15T22:43:00.000+03:00,^N225,37755.51,0.0,0.0,0
2025-05-15T22:43:00.000+03:00,000001.SS,3380.82,0.0,-0.0,0
2025-05-15T22:35:00.000+03:00,000001.SS,3380.82,0.0,-0.0,0
2025-05-15T22:38:00.000+03:00,^FTSE,8633.75,0.0,0.0,0
2025-05-15T22:44:00.000+03:00,^DJI,42290.17,9.11,0.57,1
2025-05-15T22:35:00.000+03:00,^DJI,42312.48,13.4,0.02,1
2025-05-15T22:43:00.000+03:00,^FTSE,8633.75,0.0,0.39,0
2025-05-15T22:42:00.000+03:00,000001.SS,3380.82,0.0,-0.0,0
2025-05-15T22:45:00.000+03:00,^N225,37755.51,,0.0,0
2025-05-15T22:37:00.000+03:00,000001.SS,3380.82,0.0,-0.0,0
2025-05-15T22:42:00.000+03:00,^FTSE,8633.75,0.0,0.47,0
2025-05-15T22:36:00.000+03:00,^DJI,42303.23,13.13,0.6,1
2025-05-15T22:43:00.000+03:00,^DJI,42294.64,10.07,0.58,1
2025-05-15T22:37:00.000+03:00,^IXIC,19053.62,8.84,-0.49,1
2025-05-15T22:36:00.000+03:00,^IXIC,19051.92,5.92,-0.5,1
2025-05-15T22:35:00.000+03:00,^N225,37755.51,0.0,0.0,0
2025-05-15T22:45:00.000+03:00,^FTSE,8633.75,,0.47,0
2025-05-15T22:45:00.000+03:00,^IXIC,19064.76,,-0.43,1
2025-05-15T22:41:00.000+03:00,^IXIC,19064.93,4.4,-0.43,1
